Metropolitan area,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Atlanta-Sandy Springs-Roswell, GA Metro Area.. ","55,271","55,733","56,202","60,219","62,613","65,381","69,464","71,742",,"77,589","84,876","86,505"
"Baltimore-Columbia-Towson, MD Metro Area . ","67,756","68,455","71,587","72,520","76,788","77,394","80,469","83,160",,"86,302","90,505","94,289"
"Boston-Cambridge-Newton, MA-NH Metro Area.. ","72,571","72,907","75,710","78,800","82,380","85,691","88,711","94,430",,"100,750","104,299","110,697"
"Charlotte-Concord-Gastonia, NC-SC Metro Area .. ","53,288","51,251","53,607","54,836","59,979","61,156","62,068","66,399",,"71,041","77,154","81,262"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area.. ","60,005","60,564","61,653","63,153","66,020","68,403","70,760","75,379",,"78,166","82,914","87,071"
"Dallas-Fort Worth-Arlington, TX Metro Area . ","57,532","57,398","59,593","61,644","63,812","67,382","69,445","72,265",,"75,975","82,823","86,860"
"Denver-Aurora-Lakewood, CO Metro Area . ","62,010","62,760","66,945","70,283","71,926","76,643","79,478","85,641",,"90,716","98,975","103,055"
"Detroit-Warren-Dearborn, Ml Metro Area ","50,885","51,857","52,509","53,628","56,142","58,411","60,513","63,474",,"67,153","71,265","72,574"
"Houston-The Woodlands-Sugar Land, TX Metro Area ","56,578","57,366","60,124","61,465","61,708","63,802","65,394","69,193",,"70,893","74,863","79,463"
"Los Angeles-Long Beach-Anaheim, CA Metro Area2 ","58,065","58,869","60,565","62,544","65,950","69,992","72,563","77,774",,"82,503","87,743","91,960"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area . ","47,154","46,946","48,480","50,441","51,362","54,284","56,328","60,141",,"63,814","70,769","76,271"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area.. ","67,048","67,194","69,183","71,008","73,231","76,856","79,578","83,698",,"87,433","91,341","95,102"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area . ","64,936","65,786","67,108","68,743","71,897","75,368","78,478","83,160",,"84,409","91,562","95,220"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area . ","60,661","60,482","48,294","51,077","52,385","55,089","58,610","61,876",,"64,936","71,857","77,378"
"Phoenix-Mesa-Scottsdale, AZ Metro Area ","51,860","51,847","62,223","65,123","65,996","68,572","70,747","74,533",,"80,007","84,123","86,867"
"Pittsburgh, PA Metro Area . ","50,998","51,291","53,449","55,547","58,075","61,506","64,427","67,896",,"75,731","82,884","85,700"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area. ","57,597","59,168","60,272","63,850","68,676","71,931","75,599","78,439",,"83,943","89,312","94,925"
"Riverside-San Bernardino-Ontario, CA Metro Area.. ","52,221","53,220","54,644","56,087","58,236","61,994","65,671","70,954",,"77,018","82,803","87,843"
"San Antonio-New Braunfels, TX Metro Area . ","52,131","51,716","55,578","56,483","59,780","61,571","62,790","66,417",,"70,189","70,538","73,195"
"San Diego-Carlsbad, CA Metro Area ","60,851","61,426","52,779","55,083","56,105","56,774","57,379","62,355",,"66,775","98,928","103,674"
"San Francisco-Oakland-Hayward, CA Metro Area . ","75,779","79,624","66,233","67,320","70,824","76,207","79,079","83,985",,"91,003","128,151","127,792"
"Seattle-Tacoma-Bellevue, WA Metro Area ","66,345","67,479","83,327","88,518","96,677","101,714","107,898","114,696",,"116,005","106,909","110,744"
"St. Louis, MO-IL Metro Area . ","53,015","54,449","71,329","75,331","78,612","82,133","87,910","94,027",,"101,721","74,531","78,224"
"Tampa-St. Petersburg-Clearwater, FL Metro Area.. ","45,053","45,880","46,895","48,911","51,115","52,212","54,912","57,906",,"62,951","69,290","72,743"
"Washington-Arlin ton-Alexandria, DC-VA-MD-WV Metro Area.. ","89,593","90,149","91,284","93,294","95,843","99,669","102,180","105,659",,"110,355","117,432","121,469"
