GeoName,Year,RealGDP,CurrentGDP
Atlanta,2012,318110620.0,293952861.0
Atlanta,2013,327640035.0,307672780.0
Atlanta,2014,342782600.0,327672584.0
Atlanta,2015,360870172.0,351859761.0
Atlanta,2016,380019119.0,376240169.0
Atlanta,2017,398208502.0,398208502.0
Atlanta,2018,413028711.0,420534764.0
Atlanta,2019,429660232.0,446655157.0
Atlanta,2020,416596291.0,438872169.0
Atlanta,2021,444713055.0,483528782.0
Atlanta,2022,461994504.0,534307899.0
Atlanta,2023,471655708.0,570662834.0
Baltimore,2012,177705452.0,162981268.0
Baltimore,2013,181180869.0,168806696.0
Baltimore,2014,184038314.0,174791079.0
Baltimore,2015,187802711.0,182271120.0
Baltimore,2016,194266369.0,191569591.0
Baltimore,2017,198332437.0,198332437.0
Baltimore,2018,200409767.0,204559676.0
Baltimore,2019,201619144.0,210146753.0
Baltimore,2020,194807422.0,207278076.0
Baltimore,2021,204812340.0,225065634.0
Baltimore,2022,210176525.0,243871881.0
Baltimore,2023,213539532.0,259690214.0
Boston,2012,389780969.0,356528299.0
Boston,2013,392768811.0,365521949.0
Boston,2014,400960432.0,380097987.0
Boston,2015,416982922.0,403715374.0
Boston,2016,424191410.0,418174810.0
Boston,2017,433844401.0,433844401.0
Boston,2018,451335935.0,459493203.0
Boston,2019,467414114.0,484474798.0
Boston,2020,463272465.0,489014968.0
Boston,2021,495860834.0,537634347.0
Boston,2022,507807016.0,575762803.0
Boston,2023,515386134.0,610486075.0
Chicago,2012,624494553.0,572069394.0
Chicago,2013,629809475.0,586400648.0
Chicago,2014,644468362.0,612092086.0
Chicago,2015,659877954.0,640542188.0
Chicago,2016,665040292.0,654041831.0
Chicago,2017,674568186.0,674568186.0
Chicago,2018,691185754.0,707911107.0
Chicago,2019,697507917.0,728631746.0
Chicago,2020,659584289.0,700007944.0
Chicago,2021,698046890.0,770533358.0
Chicago,2022,715646145.0,845186849.0
Chicago,2023,725745075.0,894862364.0
DFW,2012,404523386.0,381693570.0
DFW,2013,419597444.0,401596994.0
DFW,2014,435538151.0,422750361.0
DFW,2015,456229575.0,443541043.0
DFW,2016,466825711.0,460107200.0
DFW,2017,483732021.0,483732021.0
DFW,2018,506219605.0,516335113.0
DFW,2019,526158780.0,545967576.0
DFW,2020,520197747.0,546542602.0
DFW,2021,562114928.0,612228924.0
DFW,2022,594463828.0,692794994.0
DFW,2023,613381002.0,744653629.0
Denver,2012,165465428.0,154258442.0
Denver,2013,173288683.0,164029786.0
Denver,2014,181126153.0,174175039.0
Denver,2015,190646488.0,185303192.0
Denver,2016,194781302.0,191784558.0
Denver,2017,202210170.0,202210170.0
Denver,2018,211192596.0,215432065.0
Denver,2019,222488871.0,231278285.0
Denver,2020,222808082.0,234203573.0
Denver,2021,239061662.0,260272735.0
Denver,2022,250311918.0,289540924.0
Denver,2023,258989249.0,311876352.0
Detroit,2012,235803333.0,216756212.0
Detroit,2013,241779740.0,225190931.0
Detroit,2014,245150779.0,232459960.0
Detroit,2015,249282811.0,243631550.0
Detroit,2016,253977971.0,251552080.0
Detroit,2017,256207316.0,256207316.0
Detroit,2018,261548084.0,265442500.0
Detroit,2019,262687213.0,271677340.0
Detroit,2020,249699954.0,261954821.0
Detroit,2021,263670004.0,282049609.0
Detroit,2022,271653784.0,307906028.0
Detroit,2023,276493740.0,331333163.0
Houston,2012,423174915.0,409104519.0
Houston,2013,444914522.0,433448813.0
Houston,2014,452627187.0,447264991.0
Houston,2015,477484630.0,465245874.0
Houston,2016,467360514.0,454293836.0
Houston,2017,470676136.0,470676136.0
Houston,2018,491166782.0,507443675.0
Houston,2019,486873172.0,507654750.0
Houston,2020,478037198.0,494381176.0
Houston,2021,501191617.0,557324269.0
Houston,2022,522617412.0,645755349.0
Houston,2023,550795536.0,696999366.0
Los Angeles,2012,832108348.0,770420955.0
Los Angeles,2013,852849053.0,802019320.0
Los Angeles,2014,876277522.0,837562137.0
Los Angeles,2015,914100644.0,889382832.0
Los Angeles,2016,930683334.0,918198895.0
Los Angeles,2017,965279922.0,965279922.0
Los Angeles,2018,991254189.0,1011441224.0
Los Angeles,2019,1026495438.0,1065709665.0
Los Angeles,2020,982004052.0,1035818839.0
Los Angeles,2021,1041710648.0,1136155497.0
Los Angeles,2022,1065348063.0,1235919800.0
Los Angeles,2023,1075056705.0,1295361403.0
Miami,2012,289047949.0,263637229.0
Miami,2013,298066145.0,276884976.0
Miami,2014,308204109.0,292123662.0
Miami,2015,321884135.0,312396367.0
Miami,2016,331898529.0,326997244.0
Miami,2017,346955899.0,346955899.0
Miami,2018,359852689.0,367322597.0
Miami,2019,367587090.0,384757819.0
Miami,2020,353846629.0,377568519.0
Miami,2021,391367438.0,434516274.0
Miami,2022,415201140.0,490645936.0
Miami,2023,431882272.0,533673895.0
Minneapolis,2012,227583210.0,211374241.0
Minneapolis,2013,234708007.0,221009587.0
Minneapolis,2014,243729996.0,233036955.0
Minneapolis,2015,249048711.0,242886965.0
Minneapolis,2016,253079493.0,249398942.0
Minneapolis,2017,257849094.0,257849094.0
Minneapolis,2018,265734698.0,271637576.0
Minneapolis,2019,270051612.0,281152283.0
Minneapolis,2020,260621361.0,275576825.0
Minneapolis,2021,275748176.0,301486483.0
Minneapolis,2022,281253976.0,328636922.0
Minneapolis,2023,286739259.0,350710432.0
New York,2012,1574050499.0,1400034812.0
New York,2013,1587462103.0,1447460676.0
New York,2014,1617142651.0,1514427108.0
New York,2015,1651986502.0,1583923091.0
New York,2016,1680298739.0,1646207409.0
New York,2017,1714074302.0,1714074302.0
New York,2018,1766287427.0,1812674554.0
New York,2019,1801108140.0,1885803342.0
New York,2020,1744691761.0,1861308341.0
New York,2021,1834472543.0,2025175463.0
New York,2022,1875061603.0,2171527782.0
New York,2023,1905237359.0,2298868394.0
Philadelphia,2012,397146827.0,368236417.0
Philadelphia,2013,403724247.0,380408507.0
Philadelphia,2014,413997770.0,396939105.0
Philadelphia,2015,420928832.0,410485290.0
Philadelphia,2016,426712256.0,420385678.0
Philadelphia,2017,425373943.0,425373943.0
Philadelphia,2018,432303107.0,442000512.0
Philadelphia,2019,436957301.0,454634442.0
Philadelphia,2020,420410203.0,444984601.0
Philadelphia,2021,438847028.0,481826115.0
Philadelphia,2022,450170494.0,523915576.0
Philadelphia,2023,459530623.0,557600681.0
Phoenix,2012,215066758.0,197049992.0
Phoenix,2013,216615144.0,201768215.0
Phoenix,2014,220176396.0,208994369.0
Phoenix,2015,227107612.0,220022232.0
Phoenix,2016,235238815.0,231625013.0
Phoenix,2017,246068032.0,246068032.0
Phoenix,2018,257410455.0,262723388.0
Phoenix,2019,269398509.0,281154998.0
Phoenix,2020,274564883.0,292186625.0
Phoenix,2021,299094391.0,329620541.0
Phoenix,2022,313596695.0,368730163.0
Phoenix,2023,322794256.0,398129452.0
Riverside,2012,144328391.0,131454509.0
Riverside,2013,149957978.0,139161615.0
Riverside,2014,155233273.0,147018638.0
Riverside,2015,162441496.0,157548197.0
Riverside,2016,166795058.0,164166260.0
Riverside,2017,171203284.0,171203284.0
Riverside,2018,177211054.0,181246846.0
Riverside,2019,185085963.0,194180931.0
Riverside,2020,183495030.0,197553675.0
Riverside,2021,195149965.0,220035640.0
Riverside,2022,198951934.0,241879044.0
Riverside,2023,201185094.0,256859082.0
San Diego,2012,193126868.0,178060071.0
San Diego,2013,201179560.0,188544901.0
